iter	Passed	Remaining
324	1156	2402
325	1158	2395
326	1160	2387
327	1161	2379
328	1163	2372
329	1164	2364
330	1165	2356
331	1170	2356
332	1172	2348
333	1173	2340
334	1175	2333
335	1176	2325
336	1178	2317
337	1179	2309
338	1180	2302
339	1188	2307
340	1190	2300
341	1191	2293
342	1193	2285
343	1194	2278
344	1196	2271
345	1200	2269
346	1202	2262
347	1204	2255
348	1205	2248
349	1207	2242
350	1209	2235
351	1210	2229
352	1224	2244
353	1227	2240
354	1231	2237
355	1233	2231
356	1237	2228
357	1241	2226
358	1243	2220
359	1247	2217
360	1250	2214
361	1253	2209
362	1254	2202
363	1256	2195
364	1257	2188
365	1258	2180
366	1260	2173
367	1261	2167
368	1263	2160
369	1264	2153
370	1266	2146
371	1267	2140
372	1269	2133
373	1270	2127
374	1272	2120
375	1275	2116
376	1277	2111
377	1279	2104
378	1280	2098
379	1281	2091
380	1283	2085
